id,doc_prod_num_id,num_sku,num_asin,num_product_amazon_id,num_fnsku,name_fg_color_id,name_fg_size_id,Product#,val_freight,val_duty,val_dest,val_storage,,,행 레이블,val_freight,val_duty,val_dest,val_storage,,행 레이블,Product Number,"오더
차수",합계 : 실제 수량,,행 레이블,Product Number,오더차수, 합계 : 실제 수량 , F/pcs , D/pcs , O/pcs , S/pcs ,, Freight , Duty , Other , Storage ,,행 레이블,평균 : F/pcs,평균 : D/pcs,평균 : O/pcs,평균 : S/pcs
65,4,NF2003_#NG3,B08VHN4YB7,1.94E+11,X002SL5MK3,7,11,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,4,NF2003_#NG4,B08VHP68PM,1.94E+11,X002SKYDCH,7,13,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4,NF2003_#NG5,B08VHQX81C,1.94E+11,X002SKZEYN,7,14,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,5,NF2004_#BE1,B098T44TX5,1.94E+11,B098T44TX5,35,10,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,5,NF2004_#BE2,B098T51WZ4,1.94E+11,B098T51WZ4,35,12,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,5,NF2004_#BE3,B098T337SW,1.94E+11,B098T337SW,35,11,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,5,NF2004_#BE4,B098T2NHPG,1.94E+11,B098T2NHPG,35,13,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,5,NF2004_#BK1,B08VHPW1FY,1.94E+11,X002SL5NOD,1,10,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,5,NF2004_#BK2,B08VHNDPHM,1.94E+11,X002SL5JQP,1,12,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,5,NF2004_#BK3,B08VHR5BSR,1.94E+11,X002SL5NO3,1,11,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
