id,type_document_id,vendor_comp_id,type_dept_id,type_team_id,status,no_indent,id,brand_company_id,no_design,id,type_season_id,name_season_y_id,type_gender_id,type_fabric_main_id,type_apparel_id,type_order_id,type_order_detail_id,mid_comp_id,remark,creted_ts,updated_ts
88,18,24,3,0,CLOSE,LEV-1025,88,101,321364BY2,88,3,3,12,2,3,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
89,18,24,3,0,CLOSE,LEV-1026,89,101,321364EY1,89,3,3,12,2,3,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
90,18,24,3,0,CLOSE,LEV-1029,90,101,321411DY4,90,3,3,12,2,24,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
91,18,24,3,0,CLOSE,LEV-1032,91,101,321411LY1,91,3,3,12,2,24,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
92,18,24,3,0,CLOSE,LEV-1031,92,101,321411LY2,92,3,3,12,2,24,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
93,18,24,3,0,CLOSE,LEV-1033,93,101,321411LY6,93,3,3,12,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
94,18,24,3,0,CLOSE,LEV-1040,94,101,321411LY8,94,3,3,12,2,24,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
95,18,24,3,0,CLOSE,LEV-1035,95,101,321421FY1,95,3,3,12,2,31,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
96,18,24,3,0,CLOSE,LEV-1034,96,101,321421LY6,96,3,3,12,2,31,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
97,18,24,3,0,CLOSE,LEV-1030,97,101,321421LYA,97,3,3,12,2,31,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
98,18,24,3,0,CLOSE,LEV-1039,98,101,321521EY1,98,3,3,12,2,31,1,0,31,,2021-11-06 0:00,2021-11-06 0:00
99,18,24,3,0,CLOSE,LEV-1038,99,101,321521LY2,99,3,3,12,2,31,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
100,18,24,3,0,CLOSE,LEV-1036,100,101,321525LY6,100,3,3,12,2,31,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
101,18,24,3,0,CLOSE,LEV-1037,101,101,321525LY7,101,3,3,12,2,31,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
102,18,24,3,0,OPEN,LEV-1074,102,101,321721BY1,102,4,3,12,2,31,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
103,18,24,3,0,OPEN,LEV-1092,103,101,321811CY5,103,4,3,12,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
104,18,24,3,0,OPEN,LEV-1060,104,101,321811LY2,104,4,3,12,2,24,1,0,18,,2021-11-06 0:00,2021-11-06 0:00
105,18,24,3,0,OPEN,LEV-1093,105,101,321821CYZ,105,4,3,12,2,31,1,0,18,,2021-11-06 0:00,2021-11-06 0:00
106,18,24,3,0,OPEN,LEV-1095,106,101,32183TLY3,106,4,3,12,2,10,1,0,18,,2021-11-06 0:00,2021-11-06 0:00
107,18,24,3,0,OPEN,LEV-1063,107,101,321911LY5,107,4,3,12,2,24,1,0,18,,2021-11-06 0:00,2021-11-06 0:00
108,18,24,3,0,OPEN,LEV-1066,108,101,321911LY7,108,4,3,12,2,24,1,0,18,,2021-11-06 0:00,2021-11-06 0:00
109,18,24,3,0,OPEN,LEV-1099,109,101,321911LY9,109,4,3,12,2,24,1,0,18,,2021-11-06 0:00,2021-11-06 0:00
110,18,24,3,0,OPEN,LEV-1070,110,101,321921LY2,110,4,3,12,2,31,1,0,18,,2021-11-06 0:00,2021-11-06 0:00
111,18,24,3,0,OPEN,LEV-1071,111,101,321921LY3,111,4,3,12,2,31,1,0,18,,2021-11-06 0:00,2021-11-06 0:00
112,18,24,3,0,OPEN,LEV-1089,112,101,321921LY4,112,4,3,12,2,31,1,0,18,,2021-11-06 0:00,2021-11-06 0:00
113,18,24,3,0,OPEN,LEV-1064,113,101,321921LY6,113,4,3,12,2,31,1,0,18,,2021-11-06 0:00,2021-11-06 0:00
114,18,24,3,0,OPEN,LEV-1096,114,101,32193TLY4,114,4,3,12,2,10,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
115,18,24,3,0,OPEN,LEV-1072,115,101,321X11LY2,115,4,3,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
116,18,24,3,0,OPEN,LEV-1065,116,101,321X11LY7,116,4,3,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
117,18,24,3,0,OPEN,LEV-1090,117,101,321X11LY8,117,4,3,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
118,18,24,3,0,OPEN,LEV-1080,118,101,321X21AY9,118,4,3,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
119,18,24,3,0,OPEN,LEV-1079,119,101,321X27LY4,119,4,3,12,2,35,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
120,18,24,3,0,OPEN,LEV-1082,120,101,321Y21CYA,120,4,3,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
121,18,24,3,0,OPEN,LEV-1081,121,101,321Y21LY2,121,4,3,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
122,18,24,3,0,OPEN,LEV-1073,122,101,321Y30LY1,122,4,3,12,2,10,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
123,18,24,3,0,OPEN,LEV-1087,123,101,321Y30LY4,123,4,3,12,2,10,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
124,18,24,3,0,OPEN,LEV-22016,124,101,322111KY4,124,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
125,18,24,3,0,OPEN,LEV-22020,125,101,322121DY7,125,3,4,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
126,18,24,3,0,OPEN,LEV-22017,126,101,322121KY6,126,3,4,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
127,18,24,3,0,OPEN,LEV-22022,127,101,322211HY6,127,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
128,18,24,3,0,OPEN,LEV-22032,128,101,322211HY7,128,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
129,18,24,3,0,OPEN,LEV-22011,129,101,322211LY2,129,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
130,18,24,3,0,OPEN,LEV-22012,130,101,322211LY3,130,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
131,18,24,3,0,OPEN,LEV-22013,131,101,322211LY4,131,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
132,18,24,3,0,OPEN,LEV-22018,132,101,322211LY5,132,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
133,18,24,3,0,OPEN,LEV-22023,133,101,322221HY7,133,3,4,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
134,18,24,3,0,OPEN,LEV-22033,134,101,322221HY8,134,3,4,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
135,18,24,3,0,OPEN,LEV-22019,135,101,322221LY3,135,3,4,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
136,18,24,3,0,OPEN,LEV-22024,136,101,322221LY6,136,3,4,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
137,18,24,3,0,OPEN,LEV-22027,137,101,322227LY1,137,3,4,12,2,35,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
138,18,24,3,0,OPEN,LEV-22028,138,101,322227LY2,138,3,4,12,2,35,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
139,18,24,3,0,OPEN,LEV-22025,139,101,322311DYA,139,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
140,18,24,3,0,OPEN,LEV-22029,140,101,322311LY4,140,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
141,18,24,3,0,OPEN,LEV-22035,141,101,322311LY4-1,141,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
142,18,24,3,0,OPEN,LEV-22043,142,101,322311LY6,142,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
143,18,24,3,0,OPEN,LEV-22026,143,101,322321DYH,143,3,4,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
144,18,24,3,0,OPEN,LEV-22031,144,101,322321LY3,144,3,4,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
145,18,24,3,0,OPEN,LEV-22030,145,101,322321LY4,145,3,4,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
146,18,24,3,0,OPEN,LEV-22056,146,101,322411DY1,146,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
147,18,24,3,0,OPEN,LEV-22050,147,101,322411HY2,147,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
148,18,24,3,0,OPEN,LEV-22040,148,101,322411HY3,148,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
149,18,24,3,0,OPEN,LEV-22049,149,101,322411LY1,149,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
150,18,24,3,0,OPEN,LEV-22044,150,101,322421LY1,150,3,4,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
