id,type_document_id,vendor_comp_id,type_dept_id,type_team_id,status,no_indent,brand_company_id,no_design,type_season_id,name_season_y_id,type_gender_id,type_fabric_main_id,type_apparel_id,type_order_id,type_order_detail_id,mid_comp_id,creted_ts,updated_ts
,18,24,3,Null,CLOSE,LEV-1032,101,321411LY1,3,3,12,2,24,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1031,101,321411LY2,3,3,12,2,24,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1033,101,321411LY6,3,3,12,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1040,101,321411LY8,3,3,12,2,24,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1035,101,321421FY1,3,3,12,2,31,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1034,101,321421LY6,3,3,12,2,31,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1030,101,321421LYA,3,3,12,2,31,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1039,101,321521EY1,3,3,12,2,31,1,6,31,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1038,101,321521LY2,3,3,12,2,31,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1036,101,321525LY6,3,3,12,2,31,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1037,101,321525LY7,3,3,12,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1074,101,321721BY1,4,3,12,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1092,101,321811CY5,4,3,12,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1060,101,321811LY2,4,3,12,2,24,1,6,18,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1093,101,321821CYZ,4,3,12,2,31,1,6,18,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1095,101,32183TLY3,4,3,12,2,10,1,6,18,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1063,101,321911LY5,4,3,12,2,24,1,6,18,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1066,101,321911LY7,4,3,12,2,24,1,6,18,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1099,101,321911LY9,4,3,12,2,24,1,6,18,2021-10-19,2021-10-19
