id,size_id,name,id,,,,,
226,226,6T,226,,,,,
416,416,6TALL,416,,,,,
456,456,6XSHORT,456,,,,,
45,45,7 HUSKY,45,,,,,
53,53,7 REG,53,,,,,
65,65,7 SLIM,65,,,,,
82,82,7+,82,,,,,
259,259,8 ANK,259,,,,,
47,47,8 HUSKY,47,,,,,
57,57,8 REG,57,,,,,
289,289,8 SHORT,289,,,,,
68,68,8 SLIM,68,,,,,
292,292,8 TALL,292,,,,,
83,83,8+,83,,,,,
306,306,8LONG,306,,,,,
334,334,8P,334,,,,,
362,362,8REG,362,,,,,
390,390,8SHORT,390,,,,,
417,417,8TALL,417,,,,,
453,453,8XSHORT,453,,,,,
9,9,9-12M,9,,,,,
11,11,L,11,,,,,
233,233,L ANK,233,,,,,
31,31,L HUSKY,31,,,,,
21,21,L REG,21,,,,,
25,25,L SLIM,25,,,,,
196,196,L/P,196,,,,,
102,102,L/T,102,,,,,
228,228,L/XL,228,,,,,
238,238,L/XL P,238,,,,,
244,244,L/XL R,244,,,,,
247,247,L/XL T,247,,,,,
77,77,L+,77,,,,,
474,473,LARGE,474,,,,,
12,12,M,12,,,,,
232,232,M ANK,232,,,,,
28,28,M HUSKY,28,,,,,
20,20,M REG,20,,,,,
24,24,M SLIM,24,,,,,
439,439,M/L,439,,,,,
195,195,M/P,195,,,,,
101,101,M/T,101,,,,,
76,76,M+,76,,,,,
473,472,MEDIUM,473,,,,,
10,10,S,10,,,,,
231,231,S ANK,231,,,,,
33,33,S HUSKY,33,,,,,
18,18,S REG,18,,,,,
23,23,S SLIM,23,,,,,
227,227,S/M,227,,,,,
237,237,S/M P,237,,,,,
243,243,S/M R,243,,,,,
246,246,S/M T,246,,,,,
194,194,S/P,194,,,,,
100,100,S/T,100,,,,,
75,75,S+,75,,,,,
472,471,SMALL,472,,,,,
5,5,UPTO7LB,5,,,,,
475,474,X LARGE,475,,,,,
471,470,X SMALL,471,,,,,
13,13,XL,13,,,,,
234,234,XL ANK,234,,,,,
19,19,XL REG,19,,,,,
26,26,XL SLIM,26,,,,,
197,197,XL/P,197,,,,,
103,103,XL/T,103,,,,,
440,440,XL/XXL,440,,,,,
78,78,XL+,78,,,,,
30,30,XLHUSKY,30,,,,,
15,15,XS,15,,,,,
230,230,XS ANK,230,,,,,
17,17,XS REG,17,,,,,
22,22,XS SLIM,22,,,,,
193,193,XS/P,193,,,,,
438,438,XS/S,438,,,,,
99,99,XS/T,99,,,,,
74,74,XS+,74,,,,,
32,32,XSHUSKY,32,,,,,
470,469,XX SMALL,470,,,,,
14,14,XXL,14,,,,,
200,200,XXL /T,200,,,,,
16,16,XXL REG,16,,,,,
73,73,XXL SLIM,73,,,,,
198,198,XXL/P,198,,,,,
105,105,XXL/T,105,,,,,
79,79,XXL+,79,,,,,
476,475,XXLARGE,476,,,,,
29,29,XXLHSKY,29,,,,,
27,27,XXLSLIM,27,,,,,
96,96,XXS,96,,,,,
199,199,XXS /T,199,,,,,
229,229,XXS ANK,229,,,,,
98,98,XXS REG,98,,,,,
236,236,XXS/P,236,,,,,
104,104,XXS/T,104,,,,,
437,437,XXS/XS,437,,,,,
442,442,XXS+,442,,,,,
97,97,XXXL,97,,,,,
201,201,XXXL /T,201,,,,,
239,239,XXXL P,239,,,,,
241,241,XXXL/P,241,,,,,
106,106,XXXL/T,106,,,,,
443,443,XXXL+,443,,,,,
245,245,XXXLREG,245,,,,,
192,192,XXXS,192,,,,,
248,248,XXXS /T,248,,,,,
235,235,XXXS P,235,,,,,
202,202,XXXS T,202,,,,,
240,240,XXXS/P,240,,,,,
441,441,XXXS+,441,,,,,
242,242,XXXSREG,242,,,,,
469,0,,469,,,,,
,,5/6,490,,,,,
,,7/8,491,,,,,
,,9/10,492,,,,,
,,11/12,493,,,,,
